Whole Person Physiome Table for Urinary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Brenner & Rector’s The Kidney, 11th Edition (2020)","Mulroney & Myers, Netter’s Essential Physiology","High-Yield Physiology, 1st edition. Dudek, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,9/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,BP regulation,renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,GO:0001999,Renin secretion (RAAS),renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,GO:0001999,,,,,,,,,,,,,"TGF, baroreceptor, sympathetic control of renin",Macula densa NaCl sensing; JG cell renin release: JG cell releases renin,Cell,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,Juxtaglomerular (granular) cells,kidney granular cell,CL:0000648,NaCl,does,X release,renin,,,Intra-organ,Segmental (intra-organ),minutes,Plasma renin activity,Complement functional activity [Units/volume] in Serum or Plasma by Immunoassay,58462-3,BP (mmHg),First Blood pressure Set,18684-1,Serum aldosterone,Aldosterone [Measurement] in Serum or Plasma,110770-5,,,,Cardiovascular (BP),,,Endocrine (Aldosterone),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"17, 20",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Buffering,,,Net acid excretion,,,,,,,,,,,,,,,Defines renal acid excretion,NAE = NH₄⁺ + TA − HCO₃⁻ excreted: NH₄⁺ contributes to NAE,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,NH₄⁺,increases,X production,NAE,,,Intra-organ,Segmental (intra-organ),hours-days,Urinary NH₄⁺,Ammonium [Presence] in Stone,14599-5,Titratable acid (mmol/d),Acidity.titratable [Measurement] in Urine,110318-3,Urinary HCO₃⁻,Bicarbonate [Measurement] in Urine,110408-2,,,,Respiratory system,,,Diet acids,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Buffering,,,Net acid excretion,,,,,,,,,,,,,,,Defines renal acid excretion,NAE = NH₄⁺ + TA − HCO₃⁻ excreted: TA (titratable acid) contributes to NAE,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,TA (titratable acid),increases,X production,NAE,,,Intra-organ,Segmental (intra-organ),hours-days,Urinary NH₄⁺,Ammonium [Presence] in Stone,14599-5,Titratable acid (mmol/d),Acidity.titratable [Measurement] in Urine,110318-3,Urinary HCO₃⁻,Bicarbonate [Measurement] in Urine,110408-2,,,,Respiratory system,,,Diet acids,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Buffering,,,Net acid excretion,,,,,,,,,,,,,,,Defines renal acid excretion,NAE = NH₄⁺ + TA − HCO₃⁻ excreted: HCO₃⁻ reduces NAE,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,HCO₃⁻,reduces,X production,NAE,,,Intra-organ,Segmental (intra-organ),hours-days,Urinary NH₄⁺,Ammonium [Presence] in Stone,14599-5,Titratable acid (mmol/d),Acidity.titratable [Measurement] in Urine,110318-3,Urinary HCO₃⁻,Bicarbonate [Measurement] in Urine,110408-2,,,,Respiratory system,,,Diet acids,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Buffering,,,Type A vs. B intercalated cell polarity,,,,,,,,,,,,,,,Polarity of IC cells,"α cells secrete H⁺, β cells secrete HCO₃⁻: α-IC secretes H⁺",Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,,does,X secretion,H⁺,,,,Cellular,minutes-hours,Urine pH,pH of Urine,2756-5,Urinary bicarbonate,Bicarbonate [Measurement] in Urine,110408-2,,,,,,,Acid–base,,,Resp,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Buffering,,,Type A vs. B intercalated cell polarity,,,,,,,,,,,,,,,Polarity of IC cells,"α cells secrete H⁺, β cells secrete HCO₃⁻: β-IC secretes HCO₃⁻",Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,,does,X secretion,HCO₃⁻,,,,Cellular,minutes-hours,Urine pH,pH of Urine,2756-5,Urinary bicarbonate,Bicarbonate [Measurement] in Urine,110408-2,,,,,,,Acid–base,,,Resp,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Chloride handling,,,Cl⁻ reabsorption,,,,,,,,,,,,,,,Coupled to Na⁺ movement,"Paracellular in PT, NKCC2 in TAL, NaCl cotransporter in DCT: Paracellular pathway mediates transport in PT",Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,mediates,X transport to Y,solutes,blood,,,Cellular,minutes,Serum Cl⁻,Chloride [Moles/volume] in Serum or Plasma,2075-0,Urine Cl⁻,Vinyl chloride [Mass/volume] in Urine,13640-8,Plasma osmolality,	Osmolality of Serum or Plasma,	2692-2,,,,Na⁺ transport,,,RAAS,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Chloride handling,,,Cl⁻ reabsorption,,,,,,,,,,,,,,,Coupled to Na⁺ movement,"Paracellular in PT, NKCC2 in TAL, NaCl cotransporter in DCT: NKCC2 mediates ion reabsorption in TAL",Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,mediates,X reabsorption to Y,ions,blood,,,Cellular,minutes,Serum Cl⁻,Chloride [Moles/volume] in Serum or Plasma,2075-0,Urine Cl⁻,Vinyl chloride [Mass/volume] in Urine,13640-8,Plasma osmolality,	Osmolality of Serum or Plasma,	2692-2,,,,Na⁺ transport,,,RAAS,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Chloride handling,,,Cl⁻ reabsorption,,,,,,,,,,,,,,,Coupled to Na⁺ movement,"Paracellular in PT, NKCC2 in TAL, NaCl cotransporter in DCT: NaCl cotransporter mediates NaCl reabsorption in DCT",Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,mediates,X reabsorption to Y,NaCl,blood,,,Cellular,minutes,Serum Cl⁻,Chloride [Moles/volume] in Serum or Plasma,2075-0,Urine Cl⁻,Vinyl chloride [Mass/volume] in Urine,13640-8,Plasma osmolality,	Osmolality of Serum or Plasma,	2692-2,,,,Na⁺ transport,,,RAAS,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Dilution mechanisms,,,Free water excretion,renal water homeostasis,GO:0003091,,,,,,,,,,,,,Gradient disruption with volume expansion; diuresis,Low ADH; high DTL/TAL flow washes out gradient (diuresis): Low ADH reduces water reabsorption,Cell,kidney loop of Henle epithelial cell,loop of Henle,UBERON:0001288,kidney loop of Henle epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,ADH,decreases,X reabsorption to Y,water,blood,,Systemic,Systemic,hours,Uosm/Posm ratio,Osmolality.urine/Osmolality.serum,48149-9,Free water clearance (CH₂O),Free water Clearance in Urine and Serum or Plasma,99063-0,Urine flow (mL/min),	Mean urine flow by Uroflowmetry,	80522-6,,,,ANP,,,Decreased ADH,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"19, 20",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Dilution mechanisms,,,Free water excretion,renal water homeostasis,GO:0003091,,,,,,,,,,,,,Gradient disruption with volume expansion; diuresis,Low ADH; high DTL/TAL flow washes out gradient (diuresis): High DTL flow washes out medullary gradient,Cell,kidney loop of Henle epithelial cell,loop of Henle,UBERON:0001288,kidney loop of Henle epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,,decreases,X formation,medullary osmotic gradient,,,,Systemic,hours,Uosm/Posm ratio,Osmolality.urine/Osmolality.serum,48149-9,Free water clearance (CH₂O),Free water Clearance in Urine and Serum or Plasma,99063-0,Urine flow (mL/min),	Mean urine flow by Uroflowmetry,	80522-6,,,,ANP,,,Decreased ADH,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"19, 20",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Dilution mechanisms,,,Free water excretion,renal water homeostasis,GO:0003091,,,,,,,,,,,,,Gradient disruption with volume expansion; diuresis,Low ADH; high DTL/TAL flow washes out gradient (diuresis): High TAL flow washes out medullary gradient,Cell,kidney loop of Henle epithelial cell,loop of Henle,UBERON:0001288,kidney loop of Henle epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,,decreases,,medullary osmotic gradient,,,,Systemic,hours,Uosm/Posm ratio,Osmolality.urine/Osmolality.serum,48149-9,Free water clearance (CH₂O),Free water Clearance in Urine and Serum or Plasma,99063-0,Urine flow (mL/min),	Mean urine flow by Uroflowmetry,	80522-6,,,,ANP,,,Decreased ADH,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"19, 20",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte Balance,,,Na⁺ reabsorption (bulk),renal sodium ion absorption,GO:0070294,,,,,,,,,,,,,65–70% of filtered Na⁺ and water reabsorbed,Na⁺/H⁺ exchange and Na⁺-solute cotransport; water follows osmotically: Na⁺/H⁺ exchanger exchanges ions,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,does,X formation,Na⁺/H⁺,ions,,,Systemic,minutes,FENa (%),Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma,49135-7,Urine osmolality (mOsm/kg),Osmolality of Urine,2695-5,Urine Na⁺ (mEq/L),Sodium [Measurement] in Urine,111466-9,,,,Acid–base (H⁺ secretion),,,RAAS (Ang II),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte Balance,,,Na⁺ reabsorption (bulk),renal sodium ion absorption,GO:0070294,,,,,,,,,,,,,65–70% of filtered Na⁺ and water reabsorbed,Na⁺/H⁺ exchange and Na⁺-solute cotransport; water follows osmotically: Na⁺-solute cotransporter cotransports solutes,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,does,X cotransportation with Y,Na⁺,solutes,,,Systemic,minutes,FENa (%),Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma,49135-7,Urine osmolality (mOsm/kg),Osmolality of Urine,2695-5,Urine Na⁺ (mEq/L),Sodium [Measurement] in Urine,111466-9,,,,Acid–base (H⁺ secretion),,,RAAS (Ang II),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte Balance,,,Na⁺ reabsorption (bulk),renal sodium ion absorption,GO:0070294,,,,,,,,,,,,,65–70% of filtered Na⁺ and water reabsorbed,Na⁺/H⁺ exchange and Na⁺-solute cotransport; water follows osmotically: Water follows osmotic gradient,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,does,X reabsorption to Y,water,tubule,,,Systemic,minutes,FENa (%),Fractional excretion of sodium [Ratio] in Urine and Serum or Plasma,49135-7,Urine osmolality (mOsm/kg),Osmolality of Urine,2695-5,Urine Na⁺ (mEq/L),Sodium [Measurement] in Urine,111466-9,,,,Acid–base (H⁺ secretion),,,RAAS (Ang II),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,H⁺/K⁺ exchange,renal potassium excretion,GO:0036359,,,,,,,,,,,,,H⁺/K⁺ ATPase physiology,α-IC cells secrete H⁺ while reabsorbing K⁺: α-IC cell secretes H⁺,Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,,does,X secretion to Y,H⁺,urine,,,Systemic,minutes,Plasma K⁺,Potassium [Measurement] in Serum or Plasma,108797-2,Blood pH,pH of Blood,	11558-4,Urine K⁺,Potassium [Measurement] in Urine,111459-4,,,,Acid–base,,,Aldosterone,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,H⁺/K⁺ exchange,renal potassium excretion,GO:0036359,,,,,,,,,,,,,H⁺/K⁺ ATPase physiology,α-IC cells secrete H⁺ while reabsorbing K⁺: α-IC cell reabsorbs K⁺,Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,,does,X reabsorption to Y,K⁺,blood,,,Systemic,minutes,Plasma K⁺,Potassium [Measurement] in Serum or Plasma,108797-2,Blood pH,pH of Blood,	11558-4,Urine K⁺,Potassium [Measurement] in Urine,111459-4,,,,Acid–base,,,Aldosterone,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Organic anion secretion,,,,,,,,,,,,,,,Organic acid handling,"PAH, oxalate, sulfate secreted in PT: PAH is secreted by PT",Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,,does,X secretion to Y,PAH,urine,,,Systemic,minutes,PAH clearance,Para aminohippurate renal clearance in 24 hour Urine and Serum or Plasma,2723-5,,,,,,,,,,"Other organic anions (e.g., penicillin, probenecid) compete for OAT",,,,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Organic anion secretion,,,,,,,,,,,,,,,Organic acid handling,"PAH, oxalate, sulfate secreted in PT: PAH is secreted by PT",Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,,does,X extraction from Y,PAH,blood,80%–90% of PAH,,Systemic,minutes,PAH clearance,Para aminohippurate renal clearance in 24 hour Urine and Serum or Plasma,2723-5,,,,,,,,,,"Other organic anions (e.g., penicillin, probenecid) compete for OAT",,,,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Organic anion secretion,,,,,,,,,,,,,,,Organic acid handling,"PAH, oxalate, sulfate secreted in PT: Oxalate is secreted by PT",Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,,does,X secretion,Oxalate,urine,Coupled with Na⁺-SO₄²⁻ cotransport,,Systemic,minutes,Urinary oxalate,Oxalate [Measurement] in Urine,111445-3,,,,,,,,,,NHE3 activity,,,SLC26A6 binding to PDZK1,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Organic anion secretion,,,,,,,,,,,,,,,Organic acid handling,"PAH, oxalate, sulfate secreted in PT: Oxalate is secreted by PT",Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,α-ketoglutarate gradient,does,X secretion,Oxalate,blood,α-ketoglutarate exchange,Intra-organ,Segmental (intra-organ),minutes,Urinary oxalate,Oxalate [Measurement] in Urine,111445-3,,,,,,,,,,,,,,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Organic anion secretion,,,,,,,,,,,,,,,Organic acid handling,"PAH, oxalate, sulfate secreted in PT: Sulfate is secreted by PT",Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,,does,X secretion,Sulfate,urine,,,Segmental (intra-organ),minutes,urinary sulfate,Heparan sulfate [Presence] in Urine,2405-9,,,,,,,,,,,,,,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Organic anion secretion,,,,,,,,,,,,,,,Organic acid handling,"PAH, oxalate, sulfate secreted in PT: Sulfate is secreted by PT",Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,Na⁺ gradient,does,X extraction from Y,Sulfate,blood,,Intra-organ,Cellular,minutes,urinary sulfate,Heparan sulfate [Presence] in Urine,2405-9,,,,,,,,,,,,,,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,18,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,Intrarenal dopamine,,,,,,,,,,,,,,,Local natriuretic factor,Dopamine promotes natriuresis in PT/CD: Dopamine promotes natriuresis in PT/CD,Cell,Proximal tubule,renal cortex tubule,UBERON:0006853,proximal tubule epithelial cell,kidney collecting duct epithelial cell,CL:1000454,Dopamine,increases,X excretion,Na⁺,,,Intra-organ,Organ (intra-organ),minutes-hours,Plasma dopamine,DOPamine [Moles/volume] in Serum or Plasma,14703-3,Urine Na⁺,Sodium [Measurement] in Urine,111466-9,,,,,,,CV,,,SNS,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,20,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte balance,,,ROMK recycling in TAL,,,,,,,,,,,,,,,Provides driving force,K⁺ recycling drives lumen +ve voltage: K⁺ recycling drives lumen +ve voltage,Cell,kidney loop of Henle epithelial cell,loop of Henle,UBERON:0001288,kidney loop of Henle epithelial cell,kidney loop of Henle epithelial cell,CL:1000909,K⁺,increases,X generation,lumen-positive voltage ,,,Intra-organ,Segmental (intra-organ),seconds-minutes,Urinary K⁺,Potassium [Measurement] in Urine,111459-4,Plasma K⁺,Potassium [Measurement] in Serum or Plasma,108797-2,,,,,,,Mg²⁺ paracellular,,,Ca²⁺ paracellular,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,19,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Electrolyte fine-tuning,,,NaCl reabsorption (DCT),,,,,,,,,,,,,,,~4% Na⁺; pharmacology and regulation,Thiazide-sensitive NaCl cotransporter mediates NaCl reabsorption: Thiazide-sensitive NaCl cotransporter mediates NaCl reabsorption,Cell,DCT,distal convoluted tubule,UBERON:0001292,epithelial cell of distal tubule,epithelial cell of distal tubule,CL:0002305,,mediates,X reabsorption,NaCl,,,,Segmental (intra-organ),minutes,Plasma Na⁺,Potassium [Measurement] in Serum or Plasma,108797-2,Urinary Na⁺,Sodium [Measurement] in Urine,111466-9,BP,First Blood pressure Set,18684-1,,,,Aldosterone (late distal),,,ANP,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"18, 20",,,,,,,,,
urinary system,renal system process,GO:0003014,Growth & Maintenance,metabolic process,GO:0008152,Endocrine conversion,,,"1,25(OH)₂D synthesis",,,,,,,,,,,,,,,Links to bone and intestinal Ca/PO₄ balance,"Proximal tubule 1α-hydroxylase converts 25(OH)D→1,25(OH)₂D: Proximal tubule converts 25(OH)D – leads to – 1,25(OH)₂D",Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal convoluted tubule epithelial cell,CL:1000838,,does,X convertion to Y,25(OH)D,"1,25(OH)₂D",,,Segmental (intra-organ),days,"1,25(OH)₂D (pg/mL)","1,25-Dihydroxyvitamin D [Mass/volume] in Serum or Plasma",	62290-2,"Calcium, phosphate",Calcium/Phosphate [Mass Ratio] in Serum or Plasma,16525-8,PTH,	Parathyrin related protein [Mass/volume] in Serum or Plasma,	2729-2,,,,Endocrine (PTH),,,GI absorption,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"17, 18",,,,,,,,,
